player,insta_mentions,G,MP,PTS,TRB,AST,STL,BLK,FG%,eFG%,TOV
A.J. Green,0,19.0,7.7,3.2,0.8,0.7,0.0,0.0,0.438,0.625,0.0
A.J. Lawson,0,11.0,8.3,3.5,0.7,0.4,0.4,0.1,0.469,0.531,0.5
AJ Griffin,0,12.0,9.2,2.5,1.0,0.3,0.1,0.0,0.294,0.412,0.3
Aaron Gordon,9,26.0,32.0,13.5,6.9,3.5,1.0,0.6,0.522,0.544,1.4
Aaron Holiday,1,24.0,18.1,7.0,1.9,1.7,0.5,0.1,0.453,0.566,0.6
Aaron Nesmith,2,25.0,24.7,11.9,3.1,1.0,1.0,0.8,0.54,0.668,0.7
Aaron Wiggins,0,24.0,12.4,5.2,2.2,0.7,0.5,0.0,0.595,0.671,0.5
Admiral Schofield,0,8.0,3.5,0.9,0.6,0.3,0.0,0.0,0.3,0.35,0.5
Al Horford,3,23.0,26.7,7.7,7.1,2.8,0.4,1.0,0.472,0.585,1.0
Alec Burks,0,21.0,17.5,9.0,2.1,1.4,0.4,0.2,0.329,0.429,0.4
Aleksej Pokusevski,0,7.0,6.1,0.9,1.1,0.7,0.0,0.1,0.182,0.227,0.4
Alex Caruso,7,24.0,23.1,9.5,3.4,2.3,1.3,0.8,0.553,0.677,1.5
Alex Fudge,0,4.0,3.5,1.0,0.5,0.0,0.0,0.0,0.167,0.167,0.3
Alex Len,0,6.0,6.8,2.5,2.7,0.8,0.2,0.8,0.75,0.75,0.3
Alperen Sengun,18,26.0,31.7,19.8,9.2,5.2,0.9,0.8,0.533,0.556,2.5
Amari Bailey,0,2.0,5.5,2.5,1.0,0.0,0.0,0.0,0.333,0.333,0.5
Amen Thompson,1,7.0,15.3,5.4,3.4,1.6,0.4,0.1,0.429,0.457,1.3
Amir Coffey,0,16.0,12.8,3.5,1.6,0.6,0.1,0.0,0.422,0.511,0.4
Andre Drummond,1,30.0,13.5,6.4,6.8,0.6,1.1,0.4,0.514,0.514,1.0
Andre Jackson Jr.,0,22.0,10.4,2.8,1.8,0.9,0.3,0.0,0.581,0.709,0.5
Andrew Nembhard,3,18.0,18.0,6.9,1.7,3.9,0.9,0.1,0.458,0.504,1.3
Andrew Wiggins,4,25.0,26.6,12.3,4.6,1.1,0.3,0.4,0.42,0.463,1.7
Anfernee Simons,0,9.0,34.1,27.1,3.1,5.9,0.9,0.1,0.457,0.538,2.6
Anthony Black,0,25.0,19.6,5.0,2.5,1.7,0.4,0.4,0.5,0.557,0.9
Anthony Davis,26,27.0,35.5,24.3,12.4,3.0,1.1,2.6,0.546,0.555,1.9
